PNR,age,is_regular,days_before_flight,no_show_prob,no_show
PNR10000000,35,0,2,0.12166666666666667,0
PNR10000001,47,0,26,0.13166666666666665,0
PNR10000002,19,0,48,0.24000000000000002,0
PNR10000003,24,0,43,0.23583333333333334,0
PNR10000004,49,0,54,0.155,0
PNR10000005,25,1,116,0.22666666666666668,0
PNR10000006,60,1,164,0.31666666666666665,0
PNR10000007,19,1,15,0.14250000000000002,1
PNR10000008,31,0,20,0.1366666666666667,0
PNR10000009,29,0,20,0.1366666666666667,0
PNR10000010,39,0,30,0.135,0
PNR10000011,29,1,8,0.05666666666666667,0
PNR10000012,51,0,44,0.14666666666666667,0
PNR10000013,22,0,4,0.20333333333333334,0
PNR10000014,37,0,90,0.185,0
PNR10000015,39,1,3,0.042499999999999996,0
PNR10000016,25,0,40,0.23333333333333334,1
PNR10000017,71,0,15,0.2625,1
PNR10000018,27,0,30,0.14500000000000002,0
PNR10000019,44,0,11,0.11916666666666667,0
PNR10000020,21,1,3,0.1325,0
PNR10000021,24,0,83,0.26916666666666667,0
PNR10000022,32,1,21,0.0675,1
PNR10000023,31,1,10,0.058333333333333334,0
PNR10000024,40,0,29,0.13416666666666666,0
PNR10000025,71,0,8,0.25666666666666665,0
PNR10000026,73,0,1,0.25083333333333335,1
PNR10000027,54,1,47,0.07916666666666666,0
PNR10000028,19,0,164,0.33666666666666667,0
PNR10000029,20,0,94,0.2783333333333333,0
PNR10000030,28,1,63,0.10250000000000001,0
PNR10000031,63,0,41,0.2841666666666667,0
PNR10000032,31,1,5,0.05416666666666667,0
PNR10000033,24,1,5,0.13416666666666668,0
PNR10000034,25,1,4,0.13333333333333333,0
PNR10000035,40,0,18,0.125,0
PNR10000036,24,0,19,0.21583333333333335,0
PNR10000037,50,1,25,0.06083333333333332,0
PNR10000038,37,1,7,0.04583333333333333,0
PNR10000039,27,0,1,0.12083333333333335,0
PNR10000040,68,0,3,0.2525,0
PNR10000041,27,0,2,0.12166666666666667,0
